"3/26/2013 7:46 PM";"3/26/2013 7:47 PM";"Alarm limit exceeded";"CHTN";"RM 570 Logger B";"9921";"S1";"Freezer 3";"Freezer 3";"-64.0";"°C";"4";"Freezer 4";"-80.7";"°C";"0";"Freezer5";"-76.1";"°C";"0";"Freezer 2";"-80.9";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/26/2013 7:47 PM";"";"Acknowledged: Alarm limit exceeded";"CHTN";"RM 570 Logger B";"9921";"S1";"Freezer 3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Administrator";"CHTN2009";"Acknowledge Comment";"ALARM  ACKNOWLEDGED";"Reason For Alarm";"";"";""
"3/26/2013 7:49 PM";"3/26/2013 7:50 PM";"Alarm limit normal";"CHTN";"RM 570 Logger B";"9921";"S1";"Freezer 3";"Freezer 3";"-66.1";"°C";"0";"Freezer 4";"-80.7";"°C";"0";"Freezer5";"-76.4";"°C";"0";"Freezer 2";"-80.5";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/27/2013 11:43 AM";"3/27/2013 11:43 AM";"Alarm limit exceeded";"CHTN";"RM 570 Logger B";"9921";"S1";"Freezer 3";"Freezer 3";"16.2";"°C";"4";"Freezer 4";"-80.6";"°C";"0";"Freezer5";"-76.7";"°C";"0";"Freezer 2";"-81.4";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/27/2013 11:43 AM";"3/27/2013 11:43 AM";"Sensor Error";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-85.5";"°C";"0";"Freezer 10";"NaN";"O.F.";"6";"Ambient Temp";"25.2";"°C";"0";"4C Walk-in";"4.2";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/27/2013 11:47 AM";"";"Acknowledged: Sensor Error";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Administrator";"CHTN2009";"Acknowledge Comment";"ALARM  ACKNOWLEDGED";"Reason For Alarm";"";"";""
"3/27/2013 11:47 AM";"";"Acknowledged: Alarm limit exceeded";"CHTN";"RM 570 Logger B";"9921";"S1";"Freezer 3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Administrator";"CHTN2009";"Acknowledge Comment";"ALARM  ACKNOWLEDGED";"Reason For Alarm";"";"";""
"3/27/2013 2:25 PM";"3/27/2013 2:25 PM";"Sensor OK";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-79.7";"°C";"0";"Freezer 10";"19.1";"°C";"0";"Ambient Temp";"24.0";"°C";"0";"4C Walk-in";"4.3";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/27/2013 2:34 PM";"3/27/2013 2:34 PM";"Alarm limit normal";"CHTN";"RM 570 Logger B";"9921";"S1";"Freezer 3";"Freezer 3";"-65.7";"°C";"0";"Freezer 4";"-80.0";"°C";"0";"Freezer5";"-75.2";"°C";"0";"Freezer 2";"-80.6";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/27/2013 2:37 PM";"3/27/2013 2:37 PM";"Alarm limit exceeded";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-82.1";"°C";"0";"Freezer 10";"18.7";"°C";"4";"Ambient Temp";"24.3";"°C";"0";"4C Walk-in";"4.1";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/27/2013 2:38 PM";"";"Acknowledged: Alarm limit exceeded";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Administrator";"CHTN2009";"Acknowledge Comment";"ALARM  ACKNOWLEDGED";"Reason For Alarm";"";"";""
"3/27/2013 2:58 PM";"3/27/2013 2:58 PM";"Alarm limit exceeded";"CHTN";"RM 570 Logger B";"9921";"S1";"Freezer 3";"Freezer 3";"21.3";"°C";"4";"Freezer 4";"-80.3";"°C";"0";"Freezer5";"-76.9";"°C";"0";"Freezer 2";"-80.4";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/27/2013 2:59 PM";"";"Acknowledged: Alarm limit exceeded";"CHTN";"RM 570 Logger B";"9921";"S1";"Freezer 3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Administrator";"CHTN2009";"Acknowledge Comment";"ALARM  ACKNOWLEDGED";"Reason For Alarm";"";"";""
"3/27/2013 7:13 PM";"3/27/2013 7:13 PM";"Alarm limit normal";"CHTN";"RM 570 Logger B";"9921";"S1";"Freezer 3";"Freezer 3";"-65.2";"°C";"0";"Freezer 4";"-80.6";"°C";"0";"Freezer5";"-74.6";"°C";"0";"Freezer 2";"-80.6";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/27/2013 9:13 PM";"3/27/2013 9:13 PM";"Alarm limit normal";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-85.7";"°C";"0";"Freezer 10";"-65.2";"°C";"0";"Ambient Temp";"24.3";"°C";"0";"4C Walk-in";"4.0";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/28/2013 9:28 AM";"3/28/2013 9:28 AM";"Alarm limit exceeded";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-80.0";"°C";"0";"Freezer 10";"-62.9";"°C";"4";"Ambient Temp";"24.3";"°C";"0";"4C Walk-in";"4.2";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/28/2013 9:31 AM";"";"Acknowledged: Alarm limit exceeded";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Administrator";"CHTN2009";"Acknowledge Comment";"alarm acknowledge";"Reason For Alarm";"";"";""
"3/30/2013 12:35 PM";"3/30/2013 12:35 PM";"Alarm limit exceeded";"CHTN";"RM 570 Logger B";"9921";"S1";"Freezer 3";"Freezer 3";"-64.2";"°C";"4";"Freezer 4";"-80.8";"°C";"0";"Freezer5";"-76.7";"°C";"0";"Freezer 2";"-80.6";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/30/2013 12:36 PM";"";"Acknowledged: Alarm limit exceeded";"CHTN";"RM 570 Logger B";"9921";"S1";"Freezer 3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Administrator";"CHTN2009";"Acknowledge Comment";"ALARM ACKNOWLEDGED";"Reason For Alarm";"";"";""
"3/30/2013 12:41 PM";"3/30/2013 12:41 PM";"Alarm limit normal";"CHTN";"RM 570 Logger B";"9921";"S1";"Freezer 3";"Freezer 3";"-65.3";"°C";"0";"Freezer 4";"-80.3";"°C";"0";"Freezer5";"-76.0";"°C";"0";"Freezer 2";"-80.9";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/30/2013 4:56 PM";"3/30/2013 4:56 PM";"Alarm limit exceeded";"CHTN";"RM 570 Logger B";"9921";"S1";"Freezer 3";"Freezer 3";"-39.0";"°C";"4";"Freezer 4";"-80.5";"°C";"0";"Freezer5";"-75.5";"°C";"0";"Freezer 2";"-80.7";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"3/30/2013 4:56 PM";"";"Acknowledged: Alarm limit exceeded";"CHTN";"RM 570 Logger B";"9921";"S1";"Freezer 3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Administrator";"CHTN2009";"Acknowledge Comment";"ALARM ACKNOWLEDGED";"Reason For Alarm";"";"";""
"3/30/2013 6:14 PM";"3/30/2013 6:14 PM";"Alarm limit normal";"CHTN";"RM 570 Logger B";"9921";"S1";"Freezer 3";"Freezer 3";"-65.0";"°C";"0";"Freezer 4";"-80.2";"°C";"0";"Freezer5";"-75.2";"°C";"0";"Freezer 2";"-80.6";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"4/2/2013 5:51 PM";"4/2/2013 5:52 PM";"Alarm limit normal";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-85.4";"°C";"0";"Freezer 10";"-65.2";"°C";"0";"Ambient Temp";"24.1";"°C";"0";"4C Walk-in";"3.5";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"4/4/2013 1:38 AM";"4/4/2013 1:39 AM";"Alarm limit exceeded";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-81.1";"°C";"0";"Freezer 10";"-62.8";"°C";"4";"Ambient Temp";"24.3";"°C";"0";"4C Walk-in";"3.8";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"4/4/2013 2:08 AM";"4/4/2013 2:09 AM";"Alarm limit exceeded (Notification repeat 1)";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-85.2";"°C";"0";"Freezer 10";"-57.9";"°C";"4";"Ambient Temp";"25.2";"°C";"0";"4C Walk-in";"4.1";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
"4/4/2013 2:38 AM";"4/4/2013 2:39 AM";"Alarm limit exceeded (Notification repeat 2)";"CHTN";"Room 566";"10339";"S2";"Freezer 10";"Freezer 11";"-78.5";"°C";"0";"Freezer 10";"-53.2";"°C";"4";"Ambient Temp";"25.1";"°C";"0";"4C Walk-in";"4.8";"°C";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"1";"";"0";"";"1";"";"";"";"";"";"";"";""
